date,session,direction,bias,regime,entryTime,entryPrice,stopPrice,tpPrice,exitPrice,exitTime,result,stopPips,pnlPips,pnlUsd,balanceAfter,rangeHigh,rangeLow
2024-04-19,NY,BEAR,BEAR,MODERATE,2024-04-19T15:50:00Z,1.06594,1.06787,1.06401,1.06594,2024-04-19T20:30:00Z,SCRATCH,19.30,0.00,0.00,10000.00,1.06757,1.06640
2024-04-24,NY,BULL,BULL,MODERATE,2024-04-24T19:15:00Z,1.07024,1.06865,1.07183,1.07024,2024-04-24T20:30:00Z,SCRATCH,15.90,0.00,0.00,10000.00,1.06996,1.06895
2024-05-15,NY,BULL,BULL,MODERATE,2024-05-15T16:05:00Z,1.08585,1.08286,1.08884,1.08585,2024-05-15T20:30:00Z,SCRATCH,29.90,0.00,0.00,10000.00,1.08566,1.08316
2024-06-27,NY,BEAR,BEAR,MODERATE,2024-06-27T14:20:00Z,1.07150,1.07294,1.07006,1.07006,2024-06-27T15:25:00Z,WIN,14.40,14.40,75.00,10075.00,1.07264,1.07177
2024-07-03,NY,BULL,BULL,MODERATE,2024-07-03T14:05:00Z,1.08023,1.07800,1.08246,1.07800,2024-07-03T18:20:00Z,LOSS,22.30,-22.30,-75.56,9999.44,1.07924,1.07830
2024-07-16,NY,BULL,BULL,MODERATE,2024-07-16T15:50:00Z,1.08856,1.08723,1.08989,1.08989,2024-07-16T19:30:00Z,WIN,13.30,13.30,75.00,10074.43,1.08832,1.08753
2024-07-31,NY,BEAR,BEAR,MODERATE,2024-07-31T14:20:00Z,1.08373,1.08526,1.08220,1.08220,2024-07-31T14:50:00Z,WIN,15.30,15.30,75.56,10149.99,1.08496,1.08401
2024-08-13,NY,BULL,BULL,MODERATE,2024-08-13T16:45:00Z,1.09664,1.09492,1.09836,1.09836,2024-08-13T18:05:00Z,WIN,17.20,17.20,76.12,10226.12,1.09626,1.09522
2024-08-15,NY,BULL,BULL,MODERATE,2024-08-15T14:20:00Z,1.09744,1.09524,1.09964,1.09744,2024-08-15T20:30:00Z,SCRATCH,22.00,0.00,0.00,10226.12,1.09698,1.09554
2024-09-19,NY,BULL,BULL,MODERATE,2024-09-19T15:25:00Z,1.11385,1.11144,1.11626,1.11626,2024-09-19T18:00:00Z,WIN,24.10,24.10,76.70,10302.81,1.11337,1.11174
2024-09-20,NY,BULL,BULL,MODERATE,2024-09-20T16:10:00Z,1.11656,1.11509,1.11803,1.11656,2024-09-20T20:30:00Z,SCRATCH,14.70,0.00,0.00,10302.81,1.11627,1.11539
2024-10-15,NY,BEAR,BEAR,MODERATE,2024-10-15T14:15:00Z,1.09056,1.09198,1.08914,1.08914,2024-10-15T16:45:00Z,WIN,14.20,14.20,77.27,10380.08,1.09168,1.09092
2024-10-16,NY,BEAR,BEAR,MODERATE,2024-10-16T14:10:00Z,1.08824,1.08974,1.08674,1.08674,2024-10-16T15:45:00Z,WIN,15.00,15.00,77.85,10457.93,1.08944,1.08862
2024-11-20,NY,BEAR,BEAR,MODERATE,2024-11-20T14:20:00Z,1.05422,1.05634,1.05210,1.05210,2024-11-20T15:50:00Z,WIN,21.20,21.20,78.43,10536.37,1.05604,1.05512
2024-11-28,NY,BULL,BULL,MODERATE,2024-11-28T15:00:00Z,1.05491,1.05272,1.05710,1.05491,2024-11-28T20:30:00Z,SCRATCH,21.90,0.00,0.00,10536.37,1.05466,1.05302
2024-12-03,NY,BEAR,BEAR,MODERATE,2024-12-03T15:05:00Z,1.05120,1.05300,1.04940,1.04940,2024-12-03T15:25:00Z,WIN,18.00,18.00,79.02,10615.39,1.05270,1.05143
2024-12-19,NY,BEAR,BEAR,MODERATE,2024-12-19T15:05:00Z,1.03908,1.04170,1.03646,1.03646,2024-12-19T16:50:00Z,WIN,26.20,26.20,79.62,10695.01,1.04140,1.03970
2024-12-31,NY,BEAR,BEAR,MODERATE,2024-12-31T14:05:00Z,1.03850,1.04004,1.03696,1.03696,2024-12-31T15:30:00Z,WIN,15.40,15.40,80.21,10775.22,1.03974,1.03878
2025-01-21,NY,BULL,BULL,MODERATE,2025-01-21T14:15:00Z,1.03832,1.03590,1.04074,1.04074,2025-01-21T15:35:00Z,WIN,24.20,24.20,80.81,10856.03,1.03780,1.03620
2025-01-31,NY,BEAR,BEAR,MODERATE,2025-01-31T14:15:00Z,1.03702,1.03925,1.03479,1.03925,2025-01-31T15:55:00Z,LOSS,22.30,-22.30,-81.42,10774.61,1.03895,1.03768
2025-02-10,NY,BEAR,BEAR,MODERATE,2025-02-10T14:10:00Z,1.03166,1.03295,1.03037,1.03166,2025-02-10T20:30:00Z,SCRATCH,12.90,0.00,0.00,10774.61,1.03265,1.03199
2025-02-26,NY,BULL,BULL,MODERATE,2025-02-26T15:30:00Z,1.04954,1.04786,1.05122,1.05122,2025-02-26T16:05:00Z,WIN,16.80,16.80,80.81,10855.42,1.04922,1.04816
2025-03-11,NY,BULL,BULL,MODERATE,2025-03-11T18:00:00Z,1.09344,1.09146,1.09542,1.09146,2025-03-11T20:20:00Z,LOSS,19.80,-19.80,-81.42,10774.01,1.09308,1.09176
